Country,Model,Year,Review Score,Sales Volume
USA,Buick,5 Series,2017,3.2,18173
France,Buick,5 Series,2011,2.1,4434
Germany,Buick,5 Series,2011,4.8,525
USA,Buick,5 Series,2011,4.8,7563
France,Buick,5 Series,2021,3.5,1879
Germany,Buick,5 Series,2021,2.3,17866
USA,Buick,5 Series,2021,2.6,13033
France,Buick,5 Series,2022,1.6,14906
Germany,Buick,5 Series,2022,3.2,4251
USA,Buick,5 Series,2022,2.7,13696
France,Buick,5 Series,2019,4.6,12136
Germany,Buick,5 Series,2019,2.7,14238
USA,Buick,5 Series,2019,4.4,16144
France,Buick,5 Series,2020,3.9,8954
Germany,Buick,5 Series,2020,3.8,8816
USA,Buick,5 Series,2020,3.6,12171
France,Buick,5 Series,2012,2.8,4685
Germany,Buick,5 Series,2012,4.5,1311
USA,Buick,5 Series,2012,2.1,2055
France,Buick,5 Series,2014,4.8,7339
Germany,Buick,5 Series,2014,2.6,8894
USA,Buick,5 Series,2014,3.2,8980
France,Buick,5 Series,2016,1.5,8717
Germany,Buick,5 Series,2016,3.6,7223
USA,Buick,5 Series,2016,1.9,8537
France,Buick,5 Series,2018,1.8,1618
Germany,Buick,5 Series,2018,3.3,13613
USA,Buick,5 Series,2018,3.5,4846
France,Buick,5 Series,2013,1.2,15880
Germany,Buick,5 Series,2013,3.2,4525
USA,Buick,5 Series,2013,4.2,7800
France,Buick,5 Series,2010,4.7,18329
Germany,Buick,5 Series,2010,1.9,3452
USA,Buick,5 Series,2010,2.6,2914
France,Buick,5 Series,2015,3.5,11705
Germany,Buick,5 Series,2015,3.8,4109
USA,Buick,5 Series,2015,2.2,1257
France,Buick,Leaf,2017,1.1,8564
Germany,Buick,Leaf,2017,1.4,9468
USA,Buick,Leaf,2017,1.2,11490
France,Buick,Leaf,2011,4.1,14168
Germany,Buick,Leaf,2011,4.2,16160
USA,Buick,Leaf,2011,4.0,8436
France,Buick,Leaf,2021,3.8,6499
Germany,Buick,Leaf,2021,3.3,13263
USA,Buick,Leaf,2021,3.1,12714
France,Buick,Leaf,2022,2.7,7501
Germany,Buick,Leaf,2022,2.3,4286
USA,Buick,Leaf,2022,4.4,5939
France,Buick,Leaf,2019,1.2,12799
Germany,Buick,Leaf,2019,3.3,14935
USA,Buick,Leaf,2019,3.4,17377
France,Buick,Leaf,2020,2.9,17351
Germany,Buick,Leaf,2020,3.9,18477
USA,Buick,Leaf,2020,1.9,15723
France,Buick,Leaf,2012,3.5,15970
Germany,Buick,Leaf,2012,4.0,12137
USA,Buick,Leaf,2012,4.7,4239
France,Buick,Leaf,2014,3.8,11536
Germany,Buick,Leaf,2014,4.6,721
USA,Buick,Leaf,2014,3.4,14239
France,Buick,Leaf,2016,3.9,14501
Germany,Buick,Leaf,2016,3.9,10370
USA,Buick,Leaf,2016,4.8,10234
France,Buick,Leaf,2018,2.6,12719
Germany,Buick,Leaf,2018,4.3,4482
USA,Buick,Leaf,2018,3.8,2775
France,Buick,Leaf,2013,4.2,7064
Germany,Buick,Leaf,2013,3.5,6620
USA,Buick,Leaf,2013,3.8,3077
France,Buick,Leaf,2010,2.1,6950
Germany,Buick,Leaf,2010,2.2,11024
USA,Buick,Leaf,2010,2.3,4580
France,Buick,Leaf,2015,2.9,12060
Germany,Buick,Leaf,2015,3.2,14355
USA,Buick,Leaf,2015,2.8,6219
France,Buick,Macan,2017,2.7,10183
Germany,Buick,Macan,2017,1.2,5647
USA,Buick,Macan,2017,2.8,12885
France,Buick,Macan,2011,1.8,17033
Germany,Buick,Macan,2011,1.7,5110
USA,Buick,Macan,2011,4.9,12094
France,Buick,Macan,2021,2.3,7681
Germany,Buick,Macan,2021,4.1,16778
USA,Buick,Macan,2021,3.3,7987
France,Buick,Macan,2022,2.8,11701
Germany,Buick,Macan,2022,3.1,2515
USA,Buick,Macan,2022,1.4,7721
France,Buick,Macan,2019,2.9,4831
Germany,Buick,Macan,2019,1.9,8998
USA,Buick,Macan,2019,4.1,8952
France,Buick,Macan,2020,3.8,18128
Germany,Buick,Macan,2020,1.8,11734
USA,Buick,Macan,2020,1.5,7326
France,Buick,Macan,2012,3.1,1437
Germany,Buick,Macan,2012,4.0,6025
USA,Buick,Macan,2012,1.6,10056
France,Buick,Macan,2014,1.3,2170
Germany,Buick,Macan,2014,4.9,586
USA,Buick,Macan,2014,3.2,2975
France,Buick,Macan,2016,1.7,8930
Germany,Buick,Macan,2016,1.5,14522
USA,Buick,Macan,2016,4.2,15679
France,Buick,Macan,2018,2.8,10988
Germany,Buick,Macan,2018,2.7,5996
USA,Buick,Macan,2018,3.7,15987
France,Buick,Macan,2013,4.5,16789
Germany,Buick,Macan,2013,2.6,11487
USA,Buick,Macan,2013,1.6,7371
France,Buick,Macan,2010,2.1,1241
Germany,Buick,Macan,2010,2.9,7138
USA,Buick,Macan,2010,2.2,16647
France,Buick,Macan,2015,4.2,16852
Germany,Buick,Macan,2015,3.4,3527
USA,Buick,Macan,2015,4.2,10512
France,Buick,A6,2017,3.6,992
Germany,Buick,A6,2017,1.5,6471
USA,Buick,A6,2017,4.8,12889
France,Buick,A6,2011,2.7,5472
Germany,Buick,A6,2011,3.4,15788
USA,Buick,A6,2011,1.3,7834
France,Buick,A6,2021,1.2,17544
Germany,Buick,A6,2021,2.2,18335
USA,Buick,A6,2021,4.3,10974
France,Buick,A6,2022,4.9,10664
Germany,Buick,A6,2022,2.4,17334
USA,Buick,A6,2022,3.6,6102
France,Buick,A6,2019,3.6,10734
Germany,Buick,A6,2019,1.9,13905
USA,Buick,A6,2019,3.2,14262
France,Buick,A6,2020,2.0,2769
Germany,Buick,A6,2020,2.0,14888
USA,Buick,A6,2020,2.9,5446
France,Buick,A6,2012,4.7,17614
Germany,Buick,A6,2012,3.5,2448
USA,Buick,A6,2012,2.3,17176
France,Buick,A6,2014,4.1,4795
Germany,Buick,A6,2014,1.5,3481
USA,Buick,A6,2014,2.1,15670
France,Buick,A6,2016,2.2,2114
Germany,Buick,A6,2016,4.6,7080
USA,Buick,A6,2016,4.9,6080
France,Buick,A6,2018,3.8,6761
Germany,Buick,A6,2018,4.3,11596
USA,Buick,A6,2018,1.3,9894
France,Buick,A6,2013,1.9,17069
Germany,Buick,A6,2013,4.8,3937
USA,Buick,A6,2013,4.8,11132
France,Buick,A6,2010,2.7,18292
Germany,Buick,A6,2010,3.9,14317
USA,Buick,A6,2010,1.4,17197
France,Buick,A6,2015,1.2,4039
Germany,Buick,A6,2015,1.1,1112
USA,Buick,A6,2015,1.9,12816
France,Buick,Equinox,2017,1.3,10893
Germany,Buick,Equinox,2017,3.1,17303
USA,Buick,Equinox,2017,3.9,12832
France,Buick,Equinox,2011,4.4,2652
Germany,Buick,Equinox,2011,4.9,10579
USA,Buick,Equinox,2011,2.6,11616
France,Buick,Equinox,2021,1.8,11436
Germany,Buick,Equinox,2021,1.7,11975
USA,Buick,Equinox,2021,4.0,3049
France,Buick,Equinox,2022,3.6,2643
Germany,Buick,Equinox,2022,4.1,9601
USA,Buick,Equinox,2022,1.1,2829
France,Buick,Equinox,2019,4.2,15568
Germany,Buick,Equinox,2019,1.7,10534
USA,Buick,Equinox,2019,1.6,11223
France,Buick,Equinox,2020,2.9,14499
Germany,Buick,Equinox,2020,4.9,2114
USA,Buick,Equinox,2020,1.3,13098
France,Buick,Equinox,2012,4.5,4514
Germany,Buick,Equinox,2012,4.4,15299
USA,Buick,Equinox,2012,3.3,14373
France,Buick,Equinox,2014,4.1,16639
Germany,Buick,Equinox,2014,2.4,13571
USA,Buick,Equinox,2014,2.3,5609
France,Buick,Equinox,2016,2.1,4636
Germany,Buick,Equinox,2016,2.6,16746
USA,Buick,Equinox,2016,1.6,5173
France,Buick,Equinox,2018,3.7,13944
Germany,Buick,Equinox,2018,1.9,2448
USA,Buick,Equinox,2018,3.6,6189
France,Buick,Equinox,2013,1.5,18484
Germany,Buick,Equinox,2013,2.1,12389
USA,Buick,Equinox,2013,3.9,15124
France,Buick,Equinox,2010,3.6,16401
Germany,Buick,Equinox,2010,2.8,16222
USA,Buick,Equinox,2010,1.7,5508
France,Buick,Equinox,2015,4.2,6123
Germany,Buick,Equinox,2015,2.5,10646
USA,Buick,Equinox,2015,3.3,14914
France,Buick,Malibu,2017,2.6,15532
Germany,Buick,Malibu,2017,2.9,13456
USA,Buick,Malibu,2017,1.5,17965
France,Buick,Malibu,2011,2.8,5895
Germany,Buick,Malibu,2011,1.5,3480
USA,Buick,Malibu,2011,3.3,9170
France,Buick,Malibu,2021,2.1,1595
Germany,Buick,Malibu,2021,3.8,7513
USA,Buick,Malibu,2021,4.2,2375
France,Buick,Malibu,2022,4.4,1941
Germany,Buick,Malibu,2022,1.8,3722
USA,Buick,Malibu,2022,3.2,3264
France,Buick,Malibu,2019,1.2,10733
Germany,Buick,Malibu,2019,2.9,13080
USA,Buick,Malibu,2019,4.5,15767
France,Buick,Malibu,2020,3.3,1241
Germany,Buick,Malibu,2020,3.8,4859
USA,Buick,Malibu,2020,4.0,12487
France,Buick,Malibu,2012,1.3,13511
Germany,Buick,Malibu,2012,4.6,16174
USA,Buick,Malibu,2012,4.7,12414
France,Buick,Malibu,2014,3.5,13490
Germany,Buick,Malibu,2014,4.8,13806
USA,Buick,Malibu,2014,4.7,2571
France,Buick,Malibu,2016,3.3,13308
Germany,Buick,Malibu,2016,3.3,2021
USA,Buick,Malibu,2016,3.9,18490
France,Buick,Malibu,2018,4.7,1917
Germany,Buick,Malibu,2018,3.0,5861
USA,Buick,Malibu,2018,3.7,7935
France,Buick,Malibu,2013,3.4,18139
Germany,Buick,Malibu,2013,2.9,10402
USA,Buick,Malibu,2013,2.3,11135
France,Buick,Malibu,2010,2.4,14274
Germany,Buick,Malibu,2010,2.0,13361
USA,Buick,Malibu,2010,3.7,15323
France,Buick,Malibu,2015,1.9,14340
Germany,Buick,Malibu,2015,1.4,15828
USA,Buick,Malibu,2015,3.7,6995
France,Buick,RLX,2017,3.6,16081
Germany,Buick,RLX,2017,4.0,17081
USA,Buick,RLX,2017,2.0,9640
France,Buick,RLX,2011,2.4,5106
Germany,Buick,RLX,2011,4.4,6795
USA,Buick,RLX,2011,2.6,14209
France,Buick,RLX,2021,4.9,10806
Germany,Buick,RLX,2021,3.1,9709
USA,Buick,RLX,2021,1.6,8590
France,Buick,RLX,2022,4.2,14801
Germany,Buick,RLX,2022,3.2,3423
USA,Buick,RLX,2022,2.8,14556
France,Buick,RLX,2019,2.8,11358
Germany,Buick,RLX,2019,2.9,12788
USA,Buick,RLX,2019,2.1,2831
France,Buick,RLX,2020,1.4,3962
Germany,Buick,RLX,2020,1.6,1364
USA,Buick,RLX,2020,2.2,6374
France,Buick,RLX,2012,1.8,17593
Germany,Buick,RLX,2012,1.6,4356
USA,Buick,RLX,2012,4.0,2781
France,Buick,RLX,2014,2.0,14186
Germany,Buick,RLX,2014,3.8,3204
USA,Buick,RLX,2014,4.5,15712
France,Buick,RLX,2016,2.1,7148
Germany,Buick,RLX,2016,1.5,14231
USA,Buick,RLX,2016,4.1,18001
France,Buick,RLX,2018,1.6,953
Germany,Buick,RLX,2018,1.8,13238
USA,Buick,RLX,2018,3.5,17179
France,Buick,RLX,2013,3.9,12876
Germany,Buick,RLX,2013,1.8,18404
USA,Buick,RLX,2013,1.5,6471
France,Buick,RLX,2010,2.2,8773
Germany,Buick,RLX,2010,1.8,14944
USA,Buick,RLX,2010,3.7,8678
France,Buick,RLX,2015,3.4,14298
Germany,Buick,RLX,2015,2.1,6692
USA,Buick,RLX,2015,3.4,12741
France,Buick,Forester,2017,2.0,9833
Germany,Buick,Forester,2017,2.7,10756
USA,Buick,Forester,2017,1.3,17720
France,Buick,Forester,2011,4.6,5910
Germany,Buick,Forester,2011,2.3,17147
USA,Buick,Forester,2011,4.2,13705
France,Buick,Forester,2021,3.1,3450
Germany,Buick,Forester,2021,3.4,7390
USA,Buick,Forester,2021,2.2,2373
France,Buick,Forester,2022,1.6,7646
Germany,Buick,Forester,2022,3.9,1689
USA,Buick,Forester,2022,1.1,6254
France,Buick,Forester,2019,2.3,13271
Germany,Buick,Forester,2019,3.6,18051
USA,Buick,Forester,2019,3.1,8304
France,Buick,Forester,2020,1.5,12512
Germany,Buick,Forester,2020,4.9,17848
USA,Buick,Forester,2020,1.7,14812
France,Buick,Forester,2012,1.8,17648
Germany,Buick,Forester,2012,3.2,2452
USA,Buick,Forester,2012,2.7,9134
France,Buick,Forester,2014,3.5,15941
Germany,Buick,Forester,2014,1.4,2170
USA,Buick,Forester,2014,1.6,7360
France,Buick,Forester,2016,3.0,6577
Germany,Buick,Forester,2016,3.9,16296
USA,Buick,Forester,2016,2.4,6217
France,Buick,Forester,2018,4.6,8443
Germany,Buick,Forester,2018,3.7,9948
USA,Buick,Forester,2018,4.9,6348
France,Buick,Forester,2013,3.5,1711
Germany,Buick,Forester,2013,2.6,9387
USA,Buick,Forester,2013,4.8,12217
France,Buick,Forester,2010,1.9,7823
Germany,Buick,Forester,2010,1.8,16396
USA,Buick,Forester,2010,4.7,5080
France,Buick,Forester,2015,4.7,14006
Germany,Buick,Forester,2015,4.0,12892
USA,Buick,Forester,2015,2.4,2092
France,Buick,S-Class,2017,3.4,892
Germany,Buick,S-Class,2017,3.9,16823
USA,Buick,S-Class,2017,1.4,5772
France,Buick,S-Class,2011,2.1,18076
Germany,Buick,S-Class,2011,2.1,9066
USA,Buick,S-Class,2011,4.7,15172
France,Buick,S-Class,2021,2.2,2723
Germany,Buick,S-Class,2021,3.0,12731
USA,Buick,S-Class,2021,4.0,11178
France,Buick,S-Class,2022,4.3,12563
Germany,Buick,S-Class,2022,2.8,4637
USA,Buick,S-Class,2022,2.6,8319
France,Buick,S-Class,2019,2.0,15373
Germany,Buick,S-Class,2019,2.3,9433
USA,Buick,S-Class,2019,2.8,17936
France,Buick,S-Class,2020,1.7,13032
Germany,Buick,S-Class,2020,4.6,5562
USA,Buick,S-Class,2020,1.8,8152
France,Buick,S-Class,2012,3.1,13685
Germany,Buick,S-Class,2012,4.1,7889
USA,Buick,S-Class,2012,4.9,3635
France,Buick,S-Class,2014,4.0,2956
Germany,Buick,S-Class,2014,1.2,2055
USA,Buick,S-Class,2014,3.4,2444
France,Buick,S-Class,2016,2.7,18431
Germany,Buick,S-Class,2016,1.2,12179
USA,Buick,S-Class,2016,3.3,16622
France,Buick,S-Class,2018,3.2,11958
Germany,Buick,S-Class,2018,1.4,5629
USA,Buick,S-Class,2018,3.6,3872
France,Buick,S-Class,2013,4.5,12663
Germany,Buick,S-Class,2013,3.2,13938
USA,Buick,S-Class,2013,1.3,9680
France,Buick,S-Class,2010,1.4,12896
Germany,Buick,S-Class,2010,4.4,17474
USA,Buick,S-Class,2010,3.8,6152
France,Buick,S-Class,2015,1.3,17408
Germany,Buick,S-Class,2015,2.0,5237
USA,Buick,S-Class,2015,2.9,14772
France,Buick,Panda,2017,4.4,11593
Germany,Buick,Panda,2017,1.9,13240
USA,Buick,Panda,2017,4.6,10263
France,Buick,Panda,2011,3.7,1109
Germany,Buick,Panda,2011,2.1,5736
USA,Buick,Panda,2011,3.1,1819
France,Buick,Panda,2021,3.1,14277
Germany,Buick,Panda,2021,4.8,14025
USA,Buick,Panda,2021,2.9,2909
France,Buick,Panda,2022,2.9,18416
Germany,Buick,Panda,2022,2.8,14437
USA,Buick,Panda,2022,2.6,1328
France,Buick,Panda,2019,3.4,15853
Germany,Buick,Panda,2019,4.1,15562
USA,Buick,Panda,2019,1.8,6166
France,Buick,Panda,2020,4.3,12186
Germany,Buick,Panda,2020,3.5,12608
USA,Buick,Panda,2020,1.5,3715
France,Buick,Panda,2012,1.1,3806
Germany,Buick,Panda,2012,2.3,2809
USA,Buick,Panda,2012,1.4,14121
France,Buick,Panda,2014,2.1,3375
Germany,Buick,Panda,2014,3.3,6764
USA,Buick,Panda,2014,3.2,17822
France,Buick,Panda,2016,1.5,4893
Germany,Buick,Panda,2016,4.5,5322
USA,Buick,Panda,2016,1.8,12105
France,Buick,Panda,2018,1.5,14796
Germany,Buick,Panda,2018,1.6,18223
USA,Buick,Panda,2018,3.0,7329
France,Buick,Panda,2013,2.0,9825
Germany,Buick,Panda,2013,4.6,12903
USA,Buick,Panda,2013,4.1,7491
France,Buick,Panda,2010,2.4,15160
Germany,Buick,Panda,2010,3.0,3085
USA,Buick,Panda,2010,3.0,9208
France,Buick,Panda,2015,2.1,13815
Germany,Buick,Panda,2015,3.1,14827
USA,Buick,Panda,2015,2.9,18022
France,Buick,MDX,2017,1.7,17390
Germany,Buick,MDX,2017,4.7,17368
USA,Buick,MDX,2017,4.1,8442
France,Buick,MDX,2011,2.6,4943
Germany,Buick,MDX,2011,3.7,4686
USA,Buick,MDX,2011,4.2,11953
France,Buick,MDX,2021,2.2,16538
Germany,Buick,MDX,2021,3.9,12227
USA,Buick,MDX,2021,4.3,3135
France,Buick,MDX,2022,1.5,17081
Germany,Buick,MDX,2022,1.4,5476
USA,Buick,MDX,2022,4.4,8586
France,Buick,MDX,2019,4.9,12900
Germany,Buick,MDX,2019,3.4,15064
USA,Buick,MDX,2019,1.4,7363
France,Buick,MDX,2020,2.8,765
Germany,Buick,MDX,2020,3.1,1696
USA,Buick,MDX,2020,3.1,12021
France,Buick,MDX,2012,1.8,4191
Germany,Buick,MDX,2012,4.1,8816
USA,Buick,MDX,2012,4.3,16302
France,Buick,MDX,2014,1.8,11441
Germany,Buick,MDX,2014,3.7,16602
USA,Buick,MDX,2014,3.0,1380
France,Buick,MDX,2016,2.0,2453
Germany,Buick,MDX,2016,1.1,4816
USA,Buick,MDX,2016,4.7,13362
France,Buick,MDX,2018,3.0,9348
Germany,Buick,MDX,2018,2.6,8099
USA,Buick,MDX,2018,2.8,10604
France,Buick,MDX,2013,2.7,16595
Germany,Buick,MDX,2013,4.2,13119
USA,Buick,MDX,2013,2.4,14411
France,Buick,MDX,2010,2.0,16934
Germany,Buick,MDX,2010,3.1,10122
USA,Buick,MDX,2010,2.6,14802
France,Buick,MDX,2015,3.1,14771
Germany,Buick,MDX,2015,2.9,548
USA,Buick,MDX,2015,1.7,17085
France,Buick,Escape,2017,4.1,10915
Germany,Buick,Escape,2017,3.9,9192
USA,Buick,Escape,2017,4.3,7082
France,Buick,Escape,2011,1.8,10491
Germany,Buick,Escape,2011,1.2,8521
USA,Buick,Escape,2011,4.4,4774
France,Buick,Escape,2021,1.6,16954
Germany,Buick,Escape,2021,4.4,5166
USA,Buick,Escape,2021,4.8,17982
France,Buick,Escape,2022,1.3,4392
Germany,Buick,Escape,2022,1.8,10142
USA,Buick,Escape,2022,1.2,11783
France,Buick,Escape,2019,1.8,2806
Germany,Buick,Escape,2019,2.3,4344
USA,Buick,Escape,2019,3.7,3803
France,Buick,Escape,2020,3.4,6955
Germany,Buick,Escape,2020,3.7,838
USA,Buick,Escape,2020,1.2,18495
France,Buick,Escape,2012,3.2,11428
Germany,Buick,Escape,2012,1.9,3703
USA,Buick,Escape,2012,1.7,2886
France,Buick,Escape,2014,2.3,13022
Germany,Buick,Escape,2014,2.1,13589
USA,Buick,Escape,2014,4.1,10048
France,Buick,Escape,2016,2.8,10840
Germany,Buick,Escape,2016,1.7,16230
USA,Buick,Escape,2016,3.0,8949
France,Buick,Escape,2018,2.5,7113
Germany,Buick,Escape,2018,2.3,18172
USA,Buick,Escape,2018,4.4,3769
France,Buick,Escape,2013,1.9,2415
Germany,Buick,Escape,2013,2.0,7521
USA,Buick,Escape,2013,4.5,1598
France,Buick,Escape,2010,1.6,10101
Germany,Buick,Escape,2010,2.2,6176
USA,Buick,Escape,2010,4.1,8542
France,Buick,Escape,2015,4.5,8466
Germany,Buick,Escape,2015,1.8,1614
USA,Buick,Escape,2015,1.7,6790
France,Buick,S90,2017,4.6,1394
Germany,Buick,S90,2017,3.7,7263
USA,Buick,S90,2017,1.7,10354
France,Buick,S90,2011,3.6,4993
Germany,Buick,S90,2011,1.6,17889
USA,Buick,S90,2011,1.5,10029
France,Buick,S90,2021,1.4,16919
Germany,Buick,S90,2021,4.1,12187
USA,Buick,S90,2021,1.8,15271
France,Buick,S90,2022,3.8,5309
Germany,Buick,S90,2022,4.7,3382
USA,Buick,S90,2022,2.2,17604
France,Buick,S90,2019,4.3,1187
Germany,Buick,S90,2019,4.4,10474
USA,Buick,S90,2019,4.4,1886
France,Buick,S90,2020,3.3,1664
Germany,Buick,S90,2020,1.7,9966
USA,Buick,S90,2020,2.2,17348
France,Buick,S90,2012,2.5,8011
Germany,Buick,S90,2012,1.2,2228
USA,Buick,S90,2012,2.6,4468
France,Buick,S90,2014,2.8,8940
Germany,Buick,S90,2014,3.1,923
USA,Buick,S90,2014,3.0,15690
France,Buick,S90,2016,3.2,16624
Germany,Buick,S90,2016,1.8,7407
USA,Buick,S90,2016,3.9,18296
France,Buick,S90,2018,1.3,1457
Germany,Buick,S90,2018,1.2,14514
USA,Buick,S90,2018,4.4,14614
France,Buick,S90,2013,1.9,7421
Germany,Buick,S90,2013,4.3,12071
USA,Buick,S90,2013,2.5,18217
France,Buick,S90,2010,2.8,15793
Germany,Buick,S90,2010,2.7,15525
USA,Buick,S90,2010,3.0,10143
France,Buick,S90,2015,3.4,7066
Germany,Buick,S90,2015,2.5,4834
USA,Buick,S90,2015,3.9,11716
France,Buick,I-PACE,2017,4.2,17839
Germany,Buick,I-PACE,2017,3.4,16320
USA,Buick,I-PACE,2017,3.2,9092
France,Buick,I-PACE,2011,4.6,1441
Germany,Buick,I-PACE,2011,4.6,5716
USA,Buick,I-PACE,2011,3.1,17744
France,Buick,I-PACE,2021,3.7,16946
Germany,Buick,I-PACE,2021,2.0,8082
USA,Buick,I-PACE,2021,3.9,4176
France,Buick,I-PACE,2022,3.8,14246
Germany,Buick,I-PACE,2022,3.4,12658
USA,Buick,I-PACE,2022,3.0,11021
France,Buick,I-PACE,2019,4.1,7923
Germany,Buick,I-PACE,2019,3.3,3833
USA,Buick,I-PACE,2019,4.2,13002
France,Buick,I-PACE,2020,2.4,6585
Germany,Buick,I-PACE,2020,4.9,8048
USA,Buick,I-PACE,2020,4.7,9169
France,Buick,I-PACE,2012,1.7,4310
Germany,Buick,I-PACE,2012,1.4,18391
USA,Buick,I-PACE,2012,2.8,17334
France,Buick,I-PACE,2014,3.3,17534
Germany,Buick,I-PACE,2014,4.0,13302
USA,Buick,I-PACE,2014,3.8,564
France,Buick,I-PACE,2016,1.3,2380
Germany,Buick,I-PACE,2016,1.9,13689
USA,Buick,I-PACE,2016,3.9,7308
France,Buick,I-PACE,2018,2.6,11282
Germany,Buick,I-PACE,2018,3.1,17736
USA,Buick,I-PACE,2018,3.5,14654
France,Buick,I-PACE,2013,4.0,13938
Germany,Buick,I-PACE,2013,3.5,14923
USA,Buick,I-PACE,2013,4.7,3168
France,Buick,I-PACE,2010,1.4,14179
Germany,Buick,I-PACE,2010,4.1,7155
USA,Buick,I-PACE,2010,1.8,4526
France,Buick,I-PACE,2015,3.9,15402
Germany,Buick,I-PACE,2015,1.7,13495
USA,Buick,I-PACE,2015,3.6,17814
France,Buick,Telluride,2017,4.5,4659
Germany,Buick,Telluride,2017,1.5,12832
USA,Buick,Telluride,2017,4.8,15872
France,Buick,Telluride,2011,2.5,2886
Germany,Buick,Telluride,2011,4.0,2613
USA,Buick,Telluride,2011,4.2,11032
France,Buick,Telluride,2021,2.1,9681
Germany,Buick,Telluride,2021,1.3,16470
USA,Buick,Telluride,2021,2.1,16234
France,Buick,Telluride,2022,4.5,12485
Germany,Buick,Telluride,2022,2.1,10769
USA,Buick,Telluride,2022,2.0,2505
France,Buick,Telluride,2019,2.8,13448
Germany,Buick,Telluride,2019,4.3,14194
USA,Buick,Telluride,2019,4.9,1801
France,Buick,Telluride,2020,2.6,13231
Germany,Buick,Telluride,2020,2.6,11451
USA,Buick,Telluride,2020,3.3,10270
France,Buick,Telluride,2012,2.1,3484
Germany,Buick,Telluride,2012,2.1,6961
USA,Buick,Telluride,2012,1.3,7005
France,Buick,Telluride,2014,2.4,18202
Germany,Buick,Telluride,2014,3.1,6251
USA,Buick,Telluride,2014,3.7,13079
France,Buick,Telluride,2016,4.0,16172
Germany,Buick,Telluride,2016,3.0,8349
USA,Buick,Telluride,2016,2.4,17034
France,Buick,Telluride,2018,2.4,10180
Germany,Buick,Telluride,2018,2.7,11777
USA,Buick,Telluride,2018,4.7,5903
France,Buick,Telluride,2013,4.4,9248
Germany,Buick,Telluride,2013,4.8,1044
USA,Buick,Telluride,2013,4.7,8928
France,Buick,Telluride,2010,1.6,2127
Germany,Buick,Telluride,2010,4.6,16213
USA,Buick,Telluride,2010,2.8,12384
France,Buick,Telluride,2015,2.2,8831
Germany,Buick,Telluride,2015,4.8,8663
USA,Buick,Telluride,2015,1.4,11678
France,Buick,XC60,2017,3.6,6710
Germany,Buick,XC60,2017,2.8,2916
USA,Buick,XC60,2017,4.2,14838
France,Buick,XC60,2011,2.1,5649
Germany,Buick,XC60,2011,3.1,9794
USA,Buick,XC60,2011,1.4,6125
France,Buick,XC60,2021,4.9,10629
Germany,Buick,XC60,2021,1.2,18280
USA,Buick,XC60,2021,4.5,15914
France,Buick,XC60,2022,1.5,10032
Germany,Buick,XC60,2022,4.6,8428
USA,Buick,XC60,2022,3.8,17008
France,Buick,XC60,2019,3.7,5329
Germany,Buick,XC60,2019,1.3,578
USA,Buick,XC60,2019,3.1,1847
France,Buick,XC60,2020,1.6,3628
Germany,Buick,XC60,2020,2.9,17542
USA,Buick,XC60,2020,4.5,16384
France,Buick,XC60,2012,4.1,9615
Germany,Buick,XC60,2012,3.3,18067
USA,Buick,XC60,2012,2.3,10358
France,Buick,XC60,2014,2.1,7583
Germany,Buick,XC60,2014,3.2,15715
USA,Buick,XC60,2014,2.5,13230
France,Buick,XC60,2016,1.2,9317
Germany,Buick,XC60,2016,3.4,12248
USA,Buick,XC60,2016,2.3,12972
France,Buick,XC60,2018,2.5,4371
Germany,Buick,XC60,2018,4.7,12456
USA,Buick,XC60,2018,1.5,11355
France,Buick,XC60,2013,4.3,3008
Germany,Buick,XC60,2013,3.8,14188
USA,Buick,XC60,2013,3.3,12124
France,Buick,XC60,2010,3.6,10536
Germany,Buick,XC60,2010,2.6,6031
USA,Buick,XC60,2010,3.2,8180
France,Buick,XC60,2015,1.2,9093
Germany,Buick,XC60,2015,4.4,11585
USA,Buick,XC60,2015,4.7,17432
France,Buick,Golf,2017,4.0,9381
Germany,Buick,Golf,2017,1.6,4669
USA,Buick,Golf,2017,1.8,9567
France,Buick,Golf,2011,1.1,12453
Germany,Buick,Golf,2011,3.1,565
USA,Buick,Golf,2011,2.2,7844
France,Buick,Golf,2021,2.9,6390
Germany,Buick,Golf,2021,2.9,7410
USA,Buick,Golf,2021,2.8,2176
France,Buick,Golf,2022,4.6,14577
Germany,Buick,Golf,2022,1.2,5798
USA,Buick,Golf,2022,3.2,11800
France,Buick,Golf,2019,2.0,1394
Germany,Buick,Golf,2019,3.5,8944
USA,Buick,Golf,2019,2.1,9387
France,Buick,Golf,2020,2.4,8549
Germany,Buick,Golf,2020,4.1,2242
USA,Buick,Golf,2020,3.5,880
France,Buick,Golf,2012,1.8,5714
Germany,Buick,Golf,2012,2.3,12900
USA,Buick,Golf,2012,3.8,12569
France,Buick,Golf,2014,4.3,10341
Germany,Buick,Golf,2014,2.8,6779
USA,Buick,Golf,2014,2.1,9177
France,Buick,Golf,2016,3.8,10507
Germany,Buick,Golf,2016,3.0,11837
USA,Buick,Golf,2016,2.3,5299
France,Buick,Golf,2018,1.8,3634
Germany,Buick,Golf,2018,2.0,17758
USA,Buick,Golf,2018,3.4,9519
France,Buick,Golf,2013,1.6,7361
Germany,Buick,Golf,2013,1.2,11978
USA,Buick,Golf,2013,2.6,1631
